"method","mstop","theta_hat","direct","min_threshold_gap","max_contrast_spread","max_probability_error","backfit_iterations","backfit_converged","max_condition_number","error","replication","seed","sample_signature","fold_signature"
"pure",500,0.987959523495491,0.89132144388753,0.931180889526517,2.88685074174171e-16,2.22044604925031e-16,0,1,NA,"",8,192008,14411685,13598562
"pure",1000,1.0099185424878,0.947823543490814,0.952278666666426,4.3891572141351e-16,2.22044604925031e-16,0,1,NA,"",8,192008,14411685,13598562
"pure",2000,1.03257317178779,0.999889244695983,0.97399022282819,5.42835607466224e-16,2.22044604925031e-16,0,1,NA,"",8,192008,14411685,13598562
"pure",5000,1.06177575086107,1.05682813523982,1.00115505209211,6.0453061469614e-16,2.22044604925031e-16,0,1,NA,"",8,192008,14411685,13598562
"pure",10000,1.08070561708427,1.09076611037684,1.01936398651613,6.10626875940236e-16,2.22044604925031e-16,0,1,NA,"",8,192008,14411685,13598562
"pure",500,1.15793535426085,1.01336531273161,0.910035391463727,3.03488233343217e-16,2.22044604925031e-16,0,1,NA,"",9,192009,14364039,13541577
"pure",1000,1.18280474581672,1.06608893154847,0.928559289577446,4.21358623729833e-16,2.22044604925031e-16,0,1,NA,"",9,192009,14364039,13541577
"pure",2000,1.20429095237096,1.11020624240438,0.94661723242073,5.64539700607268e-16,2.22044604925031e-16,0,1,NA,"",9,192009,14364039,13541577
"pure",5000,1.23165782634268,1.1666583419415,0.970604493298497,5.74225251657035e-16,2.22044604925031e-16,0,1,NA,"",9,192009,14364039,13541577
"pure",10000,1.25135386058416,1.20563600612586,0.986876488182194,7.1240765016663e-16,2.22044604925031e-16,0,1,NA,"",9,192009,14364039,13541577
"pure",500,0.882639989571919,0.804077171662952,0.871849529759572,3.18087734335114e-16,2.22044604925031e-16,0,1,NA,"",10,192010,14282074,13416061
"pure",1000,0.898914302549235,0.840524617548193,0.888790665096648,4.36471013291682e-16,2.22044604925031e-16,0,1,NA,"",10,192010,14282074,13416061
"pure",2000,0.915974872229436,0.87554407404831,0.905808226570473,4.87029160668078e-16,2.22044604925031e-16,0,1,NA,"",10,192010,14282074,13416061
"pure",5000,0.937977152426162,0.917398900729446,0.927401943215018,5.60937872207606e-16,2.22044604925031e-16,0,1,NA,"",10,192010,14282074,13416061
"pure",10000,0.953141002815793,0.942600734667791,0.941430464470178,6.00020659027746e-16,2.22044604925031e-16,0,1,NA,"",10,192010,14282074,13416061
"pure",500,0.977575707280992,0.869598361745785,0.967300670794091,2.9264954724082e-16,2.22044604925031e-16,0,1,NA,"",11,192011,14064741,13470041
"pure",1000,0.994886040738009,0.910926172797496,0.988336889204198,4.37930078277858e-16,2.22044604925031e-16,0,1,NA,"",11,192011,14064741,13470041
"pure",2000,1.01082765109489,0.946161757014062,1.00680872905468,5.47421995407822e-16,2.22044604925031e-16,0,1,NA,"",11,192011,14064741,13470041
"pure",5000,1.03281094902275,0.988075636440358,1.03323680362846,5.94508179666716e-16,2.22044604925031e-16,0,1,NA,"",11,192011,14064741,13470041
"pure",10000,1.05011834324025,1.01821806652718,1.05475659714326,6.21846680715105e-16,2.22044604925031e-16,0,1,NA,"",11,192011,14064741,13470041
"pure",500,0.88584731543629,0.796091435242843,0.938905083193043,3.11650492779168e-16,2.22044604925031e-16,0,1,NA,"",12,192012,14315829,13466806
"pure",1000,0.902270191351343,0.830862274008735,0.955348236212942,4.20821082790654e-16,2.22044604925031e-16,0,1,NA,"",12,192012,14315829,13466806
"pure",2000,0.917840292282285,0.861712720691703,0.973407199934048,4.94492680089478e-16,2.22044604925031e-16,0,1,NA,"",12,192012,14315829,13466806
"pure",5000,0.937742974565093,0.900290493290236,0.996853301054659,6.0144220653228e-16,2.22044604925031e-16,0,1,NA,"",12,192012,14315829,13466806
"pure",10000,0.951818848726419,0.925880999626422,1.01309171593768,6.35301534163453e-16,2.22044604925031e-16,0,1,NA,"",12,192012,14315829,13466806
