"theta","learner","rep","var_ratio","p_het","theta_hat","theta_bias"
1.5,"gam",56,1.10570149690071,0.127183467759753,1.36462693577067,-0.13537306422933
1.5,"gam",57,1.04021544438924,0.547183725936782,1.41379408869419,-0.08620591130581
1.5,"gam",58,1.05830175351826,0.384031356226939,1.48407141179458,-0.015928588205423
1.5,"gam",59,0.946284320578537,0.391070913707342,1.32347400737203,-0.176525992627966
1.5,"gam",60,1.0242492325858,0.721337080724325,1.40688610790576,-0.0931138920942445
1.5,"gam",61,1.00056583671312,0.998196963026463,1.4223534238167,-0.0776465761832992
1.5,"gam",62,0.883874320638041,0.0569407817721397,1.30827164375302,-0.191728356246984
1.5,"gam",63,0.932540896188338,0.278740537346022,1.34869525787502,-0.151304742124978
1.5,"gam",64,0.979627902326145,0.747930640942191,1.44577989427497,-0.0542201057250253
1.5,"gam",65,0.983185904235528,0.790992771668343,1.23347914379717,-0.266520856202834
1.5,"gam",66,1.04283282046205,0.523078548304949,1.31944201339815,-0.180557986601854
1.5,"gam",67,0.976728327385364,0.712466910294731,1.49024655265307,-0.00975344734693184
1.5,"gam",68,0.923356124065526,0.219348162196955,1.60723299354912,0.107232993549119
1.5,"gam",69,0.972724807944965,0.670034663936786,1.8157661691679,0.315766169167897
1.5,"gam",70,1.07816469656921,0.257043505419926,1.31490653867648,-0.185093461323519
1.5,"gam",71,1.02779637199968,0.676877566787411,1.38562331766658,-0.114376682333423
1.5,"gam",72,1.03545718395409,0.594540570092303,1.64734907998843,0.147349079988432
1.5,"gam",73,0.999922087531351,0.995580593820847,1.57357258167699,0.0735725816769912
1.5,"gam",74,0.947049628093659,0.400555259359507,1.59534565737843,0.0953456573784255
1.5,"gam",75,1.14870804497068,0.0358101965658206,1.60920936353068,0.109209363530681
1.5,"gam",76,0.978522592123397,0.734903664556992,1.78020619850316,0.280206198503165
1.5,"gam",77,1.0122904160218,0.855953130693845,1.53868703191399,0.0386870319139911
1.5,"gam",78,0.941579488796704,0.354871079485739,1.64138335970884,0.141383359708844
1.5,"gam",79,1.07769383415792,0.252294199046556,1.13055435806791,-0.369445641932086
1.5,"gam",80,1.12484481098638,0.0759184440344391,1.42748182043443,-0.0725181795655683
1.5,"gam",81,1.09887430784892,0.153201752566992,1.60519712188262,0.105197121882623
1.5,"gam",82,0.972313529435752,0.661074718779281,1.85355378049318,0.353553780493181
1.5,"gam",83,1.00136109771868,0.987454934217913,1.75431937818975,0.254319378189746
1.5,"gam",84,0.857963404128354,0.0189540108208915,1.48691774820581,-0.0130822517941878
1.5,"gam",85,1.0564595804496,0.401325942992813,1.60783431929699,0.10783431929699
1.5,"gam",86,0.939747034276355,0.335812270541593,1.5524105435621,0.0524105435620987
1.5,"gam",87,0.950345729602093,0.433766154754142,1.32897765159637,-0.171022348403628
1.5,"gam",88,1.05327725272562,0.431264406960279,1.61768688720988,0.117686887209875
1.5,"gam",89,1.01872099758221,0.779280768282993,1.38088162581764,-0.119118374182363
1.5,"gam",90,0.942952562883482,0.366475490426754,1.35910502183292,-0.140894978167081
1.5,"gam",91,0.998603676610857,0.978991096868764,1.81990036449692,0.319900364496916
1.5,"gam",92,0.89069760550779,0.0737373387661586,1.50972576502571,0.00972576502570877
1.5,"gam",93,0.902312894113179,0.111227535294368,1.44246229449038,-0.057537705509622
1.5,"gam",94,0.967449292464903,0.608032729842776,1.46854405997967,-0.0314559400203345
1.5,"gam",95,0.844887712183244,0.00926024527960981,1.56188369255111,0.0618836925511133
1.5,"gam",96,0.874865063739012,0.0391989892733664,1.27856517541225,-0.221434824587753
1.5,"gam",97,0.904646110975752,0.123279291438924,1.61047206054705,0.110472060547047
1.5,"gam",98,1.05600989548981,0.40781631676853,1.68569506683248,0.185695066832476
1.5,"gam",99,0.939897375449876,0.336953240945997,1.74243196922597,0.242431969225973
1.5,"gam",100,0.992563026571273,0.904588395812625,1.60956763565115,0.109567635651145
1.5,"ranger",1,0.961657780121665,0.546536698997771,1.36232891799238,-0.137671082007616
1.5,"ranger",2,0.986554213722967,0.830536635960506,1.31593577618421,-0.184064223815786
1.5,"ranger",3,0.980787743280495,0.761912707363629,1.43356613185766,-0.0664338681423429
1.5,"ranger",4,1.16500633908443,0.020427049394633,1.27994883703594,-0.220051162964058
1.5,"ranger",5,0.911793326257994,0.157368339852181,1.42471194786976,-0.0752880521302424
1.5,"ranger",6,0.938747804706398,0.32932056770305,1.33647693026191,-0.163523069738094
1.5,"ranger",7,1.10874671195302,0.120132830176001,1.3928531715119,-0.107146828488103
1.5,"ranger",8,0.951836464237472,0.445222158351497,1.67251206115482,0.172512061154821
1.5,"ranger",9,0.886723358599224,0.0646915409106673,1.40834736518234,-0.0916526348176616
1.5,"ranger",10,1.09352561754845,0.173798901579625,1.45132132476406,-0.0486786752359436
1.5,"ranger",11,0.971141197437473,0.652158023673616,1.21964424199342,-0.280355758006581
1.5,"ranger",12,0.890474209230483,0.074042915499739,1.53063469435832,0.0306346943583244
1.5,"ranger",13,1.02600848538567,0.698558117138453,1.47177925208289,-0.0282207479171119
1.5,"ranger",14,0.992456777604531,0.90327579441479,1.39080516522515,-0.10919483477485
1.5,"ranger",15,0.930120366400877,0.264188226668879,1.65847111785491,0.158471117854913
1.5,"ranger",16,0.875434387534499,0.038360569228311,1.17409297632629,-0.325907023673714
1.5,"ranger",17,0.96779648382952,0.611244300584839,1.04340899277809,-0.456591007221909
1.5,"ranger",18,0.905085915923991,0.123774403865,1.42250911624496,-0.0774908837550439
1.5,"ranger",19,0.906853006352126,0.131294990921407,1.5546743925937,0.0546743925936979
1.5,"ranger",20,1.00132105932971,0.988216204501563,1.54823548001885,0.0482354800188451
1.5,"ranger",21,0.849938000838904,0.0121734839085725,1.29008355144022,-0.209916448559776
1.5,"ranger",22,0.961414102130596,0.542259804010907,1.41364648366854,-0.0863535163314633
1.5,"ranger",23,0.96477128109851,0.579319871054464,1.37568771714694,-0.12431228285306
1.5,"ranger",24,0.99088190959243,0.883946153019841,1.43396438208873,-0.0660356179112691
1.5,"ranger",25,1.01667449033162,0.805591686203158,1.37305992756106,-0.126940072438942
1.5,"ranger",26,1.3097724691558,4.60690387613649e-05,1.45108489493602,-0.0489151050639767
1.5,"ranger",27,1.12356738833917,0.0777493296232081,1.25566088616679,-0.244339113833214
1.5,"ranger",28,1.05584890851209,0.403983148961077,1.18471367076769,-0.315286329232307
1.5,"ranger",29,0.984649463153958,0.809564147799226,1.20413946923886,-0.29586053076114
1.5,"ranger",30,0.98172719535557,0.772079277959811,1.41071166068261,-0.0892883393173878
1.5,"ranger",31,0.889965902421299,0.070979830945171,1.3578665394733,-0.142133460526703
1.5,"ranger",32,0.879207864057443,0.046540229080814,1.66412645009896,0.164126450098957
1.5,"ranger",33,0.970001762202742,0.638384379839643,1.21222078766337,-0.28777921233663
1.5,"ranger",34,0.926035850953625,0.235770871976335,1.42364877957143,-0.0763512204285703
1.5,"ranger",35,1.10541911408586,0.130413667344283,1.48205552784844,-0.0179444721515607
1.5,"ranger",36,1.10457766788974,0.131305176913118,1.1502833338487,-0.349716666151304
1.5,"ranger",37,1.03297500482921,0.626484359092384,1.53390439003075,0.0339043900307539
1.5,"ranger",38,0.894663376449698,0.0863064188093141,1.38705137552755,-0.112948624472451
