"seed","selection","truth","direct","raw_label","index_projection","sudo","scaled","orthogonal","targeted_projection","targeted_sudo","pit_intercept_tilt","pit_affine_tilt","correction","kappa","clipping_rate","max_inverse_information","direct_contrast_spread","target_failure","index_rmse","index_correlation","pit_intercept_tilt_theta","pit_intercept_tilt_intercept","pit_intercept_tilt_slope","pit_intercept_tilt_tilt","pit_intercept_tilt_score_error","pit_intercept_tilt_converged","pit_affine_tilt_theta","pit_affine_tilt_intercept","pit_affine_tilt_slope","pit_affine_tilt_tilt","pit_affine_tilt_score_error","pit_affine_tilt_converged","oracle_sudo","oracle_orthogonal","sample_signature","fold_signature","cell","clip","cell_n","cell_p","outer_folds","inner_folds","replication"
1636018,"min",0.75,0.640207391875042,0.117370263620267,0.643113816705777,0.665874678443109,0.704936103578239,0.74054692923983,0.755901214121409,0.742419410056979,0.755918550043135,0.76737090064856,0.0227608617373325,0.631834037710586,0,510.585571305037,5.77315972805081e-15,0,0.501576148208272,0.988227632933759,0.755918550043135,0.00192989668070298,1,0.115711158168093,2.70746388271922e-14,1,0.76737090064856,0.0146011617549129,1.5400983693606,-0.218611459630797,4.5391352898605e-12,1,0.754758527634377,0.785879407688668,2219223,13451655,"high_signal",0.001,3000,80,5,5,18
1636019,"min",0.75,0.637531621803684,0.117563999023296,0.637493922596188,0.658818176861859,0.693082574308258,0.712114484751783,0.746868415507362,0.732044156479507,0.746891241202813,0.760658036290681,0.0213242542656712,0.616391950354839,0,561.989047503269,5.32907051820075e-15,0,0.468570957337807,0.988930146146553,0.746891241202813,-0.00389464502254794,1,0.109359619399129,7.86644823354739e-15,1,0.760658036290681,-0.0144861249531022,1.54633312494828,-0.225178228706355,4.96472078263347e-12,1,0.750322792456391,0.735919628144504,2251551,13530752,"high_signal",0.001,3000,80,5,5,19
1636020,"min",0.75,0.616625129038186,0.114779600036651,0.616119338587604,0.638375576687634,0.673915192051947,0.71109296357302,0.714266611445649,0.703954408120547,0.714285319521934,0.72357433602577,0.0222562381000301,0.614916351849342,0,196.765729958884,6.21724893790088e-15,0,0.542781310127497,0.985938242223815,0.714285319521934,0.00345548799595043,1,0.0976601904837478,1.07588012573009e-15,1,0.72357433602577,0.0142039143471695,1.49161076278668,-0.19619034305231,3.38674865929534e-13,1,0.747192473051649,0.762072317200738,2211087,13538062,"high_signal",0.001,3000,80,5,5,20
1636021,"min",0.75,0.621548332446244,0.114878330625519,0.622370988911391,0.643902004436306,0.679434846824103,0.696804681764689,0.725342141612215,0.713844087722776,0.725346231796163,0.736029677994027,0.0215310155249145,0.622685596234139,0,543.149565477103,4.44089209850063e-15,0,0.55114504723075,0.986595937616929,0.725346231796163,0.00067554277266595,1,0.103797899349919,5.1902186252543e-15,1,0.736029677994027,0.0149588989172241,1.53550761420426,-0.218362519073139,1.4238312751047e-12,1,0.746117930725863,0.65121281632905,2218042,13446092,"high_signal",0.001,3000,80,5,5,21
1636022,"min",0.75,0.642129039590161,0.117982930821217,0.641372943607227,0.665465651916116,0.706989749457565,0.749806408167726,0.748251420302247,0.738750101456827,0.748264876623248,0.761114948704604,0.0240927083088888,0.632827169858885,0,273.056494595028,4.88498130835069e-15,0,0.523059901060207,0.983440498483411,0.748264876623248,0.00177302463809678,1,0.106135837033087,1.13266433269625e-14,1,0.761114948704604,-0.00164289061831736,1.54830890891486,-0.233099163965788,1.64861398606793e-12,1,0.760284402423408,0.826838053361448,2262569,13475400,"high_signal",0.001,3000,80,5,5,22
1636023,"min",0.75,0.627451585584216,0.116293474102304,0.627409284498263,0.651920371232959,0.691976324067871,0.741396595479168,0.730666524402894,0.721477483959167,0.730668358607452,0.744592298910914,0.0245110867346956,0.620377720612834,0.00033333333333334,1001.001001001,5.32907051820075e-15,0,0.526331714658196,0.98577930719565,0.730668358607452,0.00028544077121464,1,0.103216773023236,5.99224373824351e-15,1,0.744592298910914,0.0276444369630672,1.52164607314712,-0.210166942383243,1.62637251814128e-12,1,0.751766268644196,0.789176411041002,2133723,13536754,"high_signal",0.001,3000,80,5,5,23
1636024,"min",0.75,0.600421146696121,0.114051872195297,0.600826064856197,0.623112907402091,0.657903978631938,0.680217585654095,0.694467136766651,0.684709610542561,0.694472797884291,0.7005289590141,0.022286842545894,0.609536490183245,0,356.492178547452,4.66293670342566e-15,0,0.575616585093941,0.989103956573271,0.694472797884291,0.000749909682560717,1,0.09405165118817,4.92642963460336e-16,1,0.7005289590141,-0.0195946858124138,1.46569960734089,-0.179508079937572,1.40982040856367e-13,1,0.739273924163349,0.720283003026657,2309214,13433414,"high_signal",0.001,3000,80,5,5,24
1636025,"min",0.75,0.58889499977235,0.110212966438292,0.588647134401341,0.610838511891224,0.643988707578774,0.665288018994097,0.680795821950832,0.670122316997627,0.680793075868396,0.693021638075532,0.0221913774898829,0.599010721673303,0,281.81725806367,4.88498130835069e-15,0,0.549038554335346,0.984891230937421,0.680793075868396,0.000405569730957532,1,0.0918980760960459,4.63037016136999e-16,1,0.693021638075532,0.00774906141347325,1.38946082844916,-0.125224896177723,3.36389286796172e-13,1,0.732574828776882,0.711968086366605,2294797,13410282,"high_signal",0.001,3000,80,5,5,25
1636026,"min",0.75,0.668810946426247,0.121948879308281,0.669765405263038,0.693093959933278,0.734891499981064,0.750555790218291,0.788344561656508,0.773797193073167,0.788420116902547,0.803946737497845,0.02332855467024,0.641794049355414,0.00033333333333333,1001.001001001,6.66133814775094e-15,0,0.490372088717019,0.984626907697919,0.788420116902547,0.0066005640173259,1,0.1196091704763,7.76182081570672e-14,1,0.803946737497845,0.00729254585902639,1.63792108111091,-0.291512810931443,1.16345019544421e-11,1,0.764268173374649,0.757183848999274,2282698,13630427,"high_signal",0.001,3000,80,5,5,26
1636027,"min",0.75,0.606359448426743,0.113493229606222,0.604197160382262,0.629235797490271,0.667453792319551,0.705449152713234,0.702804035386338,0.693455708747992,0.702807301483549,0.712558750721259,0.0250386371080094,0.604173723115203,0.000333333333333346,1001.001001001,5.77315972805081e-15,0,0.523208008266209,0.987492140673272,0.702807301483549,0.00184022588023509,1,0.0964478530568057,5.34091289713009e-16,1,0.712558750721259,-0.00276085021115627,1.42596316971115,-0.152087490341647,2.50207262316356e-13,1,0.742432145167488,0.75305785121601,2293225,13533608,"high_signal",0.001,3000,80,5,5,27
1636028,"min",0.75,0.614459209300332,0.113725501508304,0.613436259631747,0.635429937750774,0.670428848448646,0.690453072980954,0.717914205171774,0.706104884358173,0.717928214664198,0.725784078830728,0.0219936781190265,0.614095822358833,0,165.743395247456,3.5527136788005e-15,0,0.513563857398301,0.989593132332434,0.717928214664198,0.0029060100682899,1,0.103469005363866,2.332948649079e-15,1,0.725784078830728,0.00683440932060378,1.43415640093047,-0.155446529298019,4.22711939525774e-13,1,0.741387092984751,0.686461255525526,2251669,13610791,"high_signal",0.001,3000,80,5,5,28
1636029,"min",0.75,0.618801568923553,0.116251204904713,0.619258576425442,0.637383023548029,0.6657594034981,0.674876582596646,0.712861625622042,0.701160592893018,0.712851022595088,0.7203118513048,0.0181244471225867,0.610233876178867,0,312.867433204772,5.32907051820075e-15,0,0.574002853725323,0.985104988140273,0.712851022595088,0.00145052246206487,1,0.0940494536715357,2.66453525910038e-16,1,0.7203118513048,0.0121269816992826,1.47466031211598,-0.192210263461866,6.5846587441835e-14,1,0.748404527298901,0.692587532135554,2225825,13680673,"high_signal",0.001,3000,80,5,5,29
1636030,"min",0.75,0.626266652698435,0.119425398002388,0.625034388767182,0.646825963171087,0.679948743327385,0.708998478947242,0.718862030006116,0.707539185228849,0.718855618801188,0.732464131570953,0.0217915744039046,0.603171619179926,0.000333333333333326,1001.001001001,7.99360577730113e-15,0,0.557214138514524,0.982261419118861,0.718855618801188,0.00293115518520786,1,0.0925889661027527,7.16463925224768e-17,1,0.732464131570953,0.00668726570447482,1.48437735866893,-0.197151908183982,5.12807574182261e-14,1,0.75243617165509,0.75276150155891,2239721,13469463,"high_signal",0.001,3000,80,5,5,30
1636031,"min",0.75,0.62354647628665,0.11631672416783,0.624390516563733,0.647342376916107,0.684509951593308,0.72976186337809,0.727751677109583,0.717889071246165,0.727751150222437,0.741797355574977,0.0229518603523735,0.61822894142164,0.00033333333333333,1001.001001001,4.2188474935756e-15,0,0.515966219875407,0.990007967901603,0.727751150222437,0.0013220058079754,1,0.104204673935787,3.329956680768e-15,1,0.741797355574977,-0.00271139376166738,1.58410443736193,-0.245965384412102,2.40046621469148e-12,1,0.750062729901251,0.783260293761641,2254225,13510595,"high_signal",0.001,3000,80,5,5,31
1636032,"min",0.75,0.632941819228487,0.115024308762137,0.63147482203004,0.653806456248515,0.691012669817607,0.704938421613605,0.749190886622745,0.734355929461848,0.74918698689681,0.766006226876682,0.0223316342184756,0.624917005764882,0.000333333333333337,1001.001001001,5.32907051820075e-15,0,0.475466134743613,0.989219493328135,0.74918698689681,-0.00034306061956359,1,0.116245167668323,2.79243295153719e-14,1,0.766006226876682,-0.00492816457116918,1.54304521756219,-0.21065162027895,8.43856066505092e-12,1,0.749216662780227,0.736247254215141,2233140,13521706,"high_signal",0.001,3000,80,5,5,32
1636033,"min",0.75,0.614806252864181,0.114382928265099,0.61214648901476,0.63514793335683,0.670201768588363,0.693814818215338,0.714053210863338,0.702065104207823,0.714096791038473,0.729614871579877,0.0230014443420696,0.60380098914332,0,256.82748789996,6.21724893790088e-15,0,0.515592698004694,0.987300941433578,0.714096791038473,-0.00444572426548867,1,0.0992905381742919,9.85285926920672e-16,1,0.729614871579877,-0.00252299123772718,1.46082068471858,-0.168506819698437,5.16867141679237e-13,1,0.744938266093137,0.735649841825952,2274983,13603750,"high_signal",0.001,3000,80,5,5,33
1636034,"min",0.75,0.613155156759403,0.112619630541944,0.613306291440775,0.634427457334136,0.669233305232246,0.704255876925417,0.715305048535342,0.704346982223317,0.715305123707819,0.726928487357208,0.0211211658933609,0.622344114918898,0.000333333333333344,1001.001001001,4.44089209850063e-15,0,0.573289379302851,0.982347659273207,0.715305123707819,4.2502579691418e-05,1,0.102149966948416,7.52879240432473e-15,1,0.726928487357208,-0.00529324620338594,1.46479406460208,-0.171217546944125,1.26358064752215e-12,1,0.745755644906243,0.75517688497948,2297285,13439411,"high_signal",0.001,3000,80,5,5,34
1636035,"min",0.75,0.619101685423632,0.116206441562889,0.620319454429206,0.640479132487335,0.671928699192694,0.68824569102357,0.718122571379607,0.70513569083222,0.718120434896494,0.7329903933094,0.0201596780581296,0.609378549317738,0.000333333333333329,1001.001001001,4.66293670342566e-15,0,0.494837721960381,0.991036885767291,0.718120434896494,-0.000234186138444138,1,0.099018749472862,1.57918123022682e-15,1,0.7329903933094,0.00557583512586018,1.49057330248753,-0.189826050508101,1.02704215502551e-12,1,0.744946745160873,0.705978021507564,2280759,13544053,"high_signal",0.001,3000,80,5,5,35
1636036,"min",0.75,0.63220126547559,0.116126751315871,0.631482652553673,0.655181081053865,0.695321440816376,0.73982867167602,0.742402714305467,0.73115007105407,0.742431439707541,0.755249689558327,0.0236984285001918,0.628776968593607,0,928.168042854345,5.32907051820075e-15,0,0.490072082824995,0.991618737071325,0.742431439707541,0.00388550762631051,1,0.110230174231951,1.14145729905128e-14,1,0.755249689558327,0.0274007324117671,1.56964155400292,-0.237079687225388,2.76947857239899e-12,1,0.75282800258115,0.80221737469427,2195305,13569017,"high_signal",0.001,3000,80,5,5,36
1636037,"min",0.75,0.612281392342019,0.114394192166731,0.612319258726857,0.633145181140197,0.666442653437491,0.68990636723759,0.709663422131263,0.699333019572732,0.70966214191102,0.71669502379302,0.0208259224133409,0.615214039609215,0,191.187995044929,4.66293670342566e-15,0,0.554341960156811,0.987018850749706,0.70966214191102,0.00155624192139881,1,0.097380749569001,5.33795230239775e-16,1,0.71669502379302,0.0042312058482598,1.45558656950691,-0.174533547659014,8.44562938103384e-14,1,0.743664560090873,0.712439616492491,2247878,13503093,"high_signal",0.001,3000,80,5,5,37
1636038,"min",0.75,0.655641418229109,0.118854779080937,0.656454976825631,0.679183834055037,0.720053614288239,0.749554685326138,0.775444514682628,0.762547353219038,0.775444581146121,0.790700871417628,0.0227288572294063,0.642620374646083,0,364.94964242051,5.32907051820075e-15,0,0.48231330925955,0.986615882931355,0.775444581146121,-0.000798654587992751,1,0.119803162917012,5.96032852702895e-14,1,0.790700871417628,-0.00709793194320237,1.61979691303963,-0.271305073890808,8.10807480415103e-12,1,0.763060966674789,0.79775595561802,2269672,13600466,"high_signal",0.001,3000,80,5,5,38
1636039,"min",0.75,0.672082204683106,0.121643565847093,0.670894986899317,0.69594318594026,0.739940799020012,0.781187951748612,0.794183895729595,0.781874485338945,0.794183385372331,0.81097954472036,0.0250481990409429,0.6372234858045,0,248.054585133494,4.66293670342566e-15,0,0.430104438416358,0.987367793527944,0.794183385372331,0.00277827644515899,1,0.122101180689225,5.99766162660368e-14,1,0.81097954472036,0.00250053845222615,1.55364066941617,-0.233194701666198,1.06321807654316e-11,1,0.766946174682931,0.832139752107829,2273621,13605245,"high_signal",0.001,3000,80,5,5,39
1636040,"min",0.75,0.647251942107776,0.117696009905175,0.647211846420647,0.669294337143921,0.707455909410549,0.753728047865851,0.755369371397192,0.74582295743191,0.755357621963385,0.762744210297606,0.0220824907232747,0.633449511415322,0.000333333333333341,1001.001001001,4.44089209850063e-15,0,0.525102299452375,0.982828744519284,0.755357621963385,0.0022831431068505,1,0.108105679855609,1.61879398774545e-14,1,0.762744210297606,0.0289743358357927,1.54351053111776,-0.236295978632168,1.96502325522374e-12,1,0.758746464504474,0.800104398890277,2236400,13522429,"high_signal",0.001,3000,80,5,5,40
