"estimator","truth","estimate","se","covered","bootstrap_success","cell","primary","clip","cell_n","cell_p","outer_folds","inner_folds","bootstrap_reps","replication","bootstrap_fit_timeout"
"targeted_projection",0.75,0.687701977696484,0.0449415647362909,TRUE,1,"randomized",TRUE,0.001,3000,80,5,5,99,25,Inf
"targeted_sudo",0.75,0.679521656598554,0.0431305918034133,TRUE,1,"randomized",TRUE,0.001,3000,80,5,5,99,25,Inf
"direct",0.75,0.720527773701704,0.0381145357628987,TRUE,1,"randomized",TRUE,0.001,3000,80,5,5,99,26,Inf
"raw_label",0.75,0.145743753373462,0.00749575118279218,FALSE,1,"randomized",TRUE,0.001,3000,80,5,5,99,26,Inf
"index_projection",0.75,0.719513419063359,0.0382479027908099,TRUE,1,"randomized",TRUE,0.001,3000,80,5,5,99,26,Inf
"sudo",0.75,0.744663653561019,0.0398137991715058,TRUE,1,"randomized",TRUE,0.001,3000,80,5,5,99,26,Inf
"scaled",0.75,0.769431254685804,0.0435137081057523,TRUE,1,"randomized",TRUE,0.001,3000,80,5,5,99,26,Inf
"orthogonal",0.75,0.782219933480829,0.0503484744181708,TRUE,1,"randomized",TRUE,0.001,3000,80,5,5,99,26,Inf
"targeted_projection",0.75,0.796239696277931,0.0469683455753855,TRUE,1,"randomized",TRUE,0.001,3000,80,5,5,99,26,Inf
"targeted_sudo",0.75,0.785171716585963,0.0456892681079059,TRUE,1,"randomized",TRUE,0.001,3000,80,5,5,99,26,Inf
"direct",0.75,0.783983854741945,0.0361026519299118,TRUE,1,"randomized",TRUE,0.001,3000,80,5,5,99,27,Inf
