"estimator","truth","estimate","se","covered","bootstrap_success","cell","primary","clip","cell_n","cell_p","outer_folds","inner_folds","bootstrap_reps","bootstrap_fit_timeout","replication"
"index_projection",0.75,0.606693496982818,0.0373144501970619,FALSE,0.404040404040404,"randomized",TRUE,0.001,3000,80,5,5,99,600,13
"sudo",0.75,0.620028605801026,0.0378807940975841,FALSE,0.404040404040404,"randomized",TRUE,0.001,3000,80,5,5,99,600,13
"scaled",0.75,0.632242565945195,0.0406696851572917,FALSE,0.404040404040404,"randomized",TRUE,0.001,3000,80,5,5,99,600,13
"orthogonal",0.75,0.565232322447419,0.0669702412831207,FALSE,0.404040404040404,"randomized",TRUE,0.001,3000,80,5,5,99,600,13
"targeted_projection",0.75,0.656852875552963,0.042350123128902,FALSE,0.404040404040404,"randomized",TRUE,0.001,3000,80,5,5,99,600,13
"targeted_sudo",0.75,0.648069960881519,0.0413595446827462,FALSE,0.404040404040404,"randomized",TRUE,0.001,3000,80,5,5,99,600,13
"pit_intercept_tilt",0.75,0.656843359230094,0.042350885393839,FALSE,0.404040404040404,"randomized",TRUE,0.001,3000,80,5,5,99,600,13
"pit_affine_tilt",0.75,0.657974241881214,0.0430741370152812,FALSE,0.404040404040404,"randomized",TRUE,0.001,3000,80,5,5,99,600,13
"direct",0.75,0.695878628794646,0.0434555350821182,TRUE,0.404040404040404,"randomized",TRUE,0.001,3000,80,5,5,99,600,14
"raw_label",0.75,0.140863924299715,0.00754253068174683,FALSE,0.404040404040404,"randomized",TRUE,0.001,3000,80,5,5,99,600,14
"index_projection",0.75,0.696242065597987,0.0431474610883209,TRUE,0.404040404040404,"randomized",TRUE,0.001,3000,80,5,5,99,600,14
"sudo",0.75,0.715765304600829,0.0434582163459299,TRUE,0.404040404040404,"randomized",TRUE,0.001,3000,80,5,5,99,600,14
"scaled",0.75,0.734482870614868,0.0457435766232422,TRUE,0.404040404040404,"randomized",TRUE,0.001,3000,80,5,5,99,600,14
"orthogonal",0.75,0.73645040050134,0.0553494656803821,TRUE,0.404040404040404,"randomized",TRUE,0.001,3000,80,5,5,99,600,14
"targeted_projection",0.75,0.763444884452305,0.0502863313850609,TRUE,0.404040404040404,"randomized",TRUE,0.001,3000,80,5,5,99,600,14
"targeted_sudo",0.75,0.75087297235504,0.0486120822429982,TRUE,0.404040404040404,"randomized",TRUE,0.001,3000,80,5,5,99,600,14
"pit_intercept_tilt",0.75,0.76344451133756,0.050280281449553,TRUE,0.404040404040404,"randomized",TRUE,0.001,3000,80,5,5,99,600,14
"pit_affine_tilt",0.75,0.766512341725415,0.0511676502999013,TRUE,0.404040404040404,"randomized",TRUE,0.001,3000,80,5,5,99,600,14
"direct",0.75,0.608300740715356,0.040576478031063,FALSE,1,"randomized",TRUE,0.001,3000,80,5,5,99,600,15
"raw_label",0.75,0.125883465808473,0.0075746644010555,FALSE,1,"randomized",TRUE,0.001,3000,80,5,5,99,600,15
"index_projection",0.75,0.609695401521318,0.0406452296126599,FALSE,1,"randomized",TRUE,0.001,3000,80,5,5,99,600,15
"sudo",0.75,0.628420823253058,0.0415325234663378,FALSE,1,"randomized",TRUE,0.001,3000,80,5,5,99,600,15
"scaled",0.75,0.645181832453477,0.0441047059639384,FALSE,1,"randomized",TRUE,0.001,3000,80,5,5,99,600,15
"orthogonal",0.75,0.655785511485757,0.0504219887320736,TRUE,1,"randomized",TRUE,0.001,3000,80,5,5,99,600,15
"targeted_projection",0.75,0.661653643837099,0.0453344409517403,TRUE,1,"randomized",TRUE,0.001,3000,80,5,5,99,600,15
