"estimator","truth","estimate","se","covered","bootstrap_success","cell","primary","clip","cell_n","cell_p","outer_folds","inner_folds","bootstrap_reps","bootstrap_fit_timeout","replication"
"pit_intercept_tilt",0.75,0.760713807691119,0.0508361076261374,TRUE,1,"randomized",TRUE,0.001,3000,80,5,5,99,86400,16
"pit_affine_tilt",0.75,0.762959773567557,0.0526012893636071,TRUE,1,"randomized",TRUE,0.001,3000,80,5,5,99,86400,16
"affine_calibrated_sudo",0.75,0.759715166076718,0.0516070718468462,TRUE,1,"randomized",TRUE,0.001,3000,80,5,5,99,86400,16
"direct",0.75,0.70835530585788,0.0428126564912464,TRUE,1,"randomized",TRUE,0.001,3000,80,5,5,99,86400,17
"raw_label",0.75,0.142086081129441,0.00796522691675668,FALSE,1,"randomized",TRUE,0.001,3000,80,5,5,99,86400,17
"index_projection",0.75,0.711423350986146,0.0422785711551535,TRUE,1,"randomized",TRUE,0.001,3000,80,5,5,99,86400,17
"sudo",0.75,0.736673012891278,0.0445357882742429,TRUE,1,"randomized",TRUE,0.001,3000,80,5,5,99,86400,17
"scaled",0.75,0.761129444369413,0.0488508004309662,TRUE,1,"randomized",TRUE,0.001,3000,80,5,5,99,86400,17
"orthogonal",0.75,0.808694605995742,0.0560078312808372,TRUE,1,"randomized",TRUE,0.001,3000,80,5,5,99,86400,17
"targeted_projection",0.75,0.779124241218321,0.0528001509292982,TRUE,1,"randomized",TRUE,0.001,3000,80,5,5,99,86400,17
"targeted_sudo",0.75,0.770072100797533,0.0512955752942223,TRUE,1,"randomized",TRUE,0.001,3000,80,5,5,99,86400,17
"pit_intercept_tilt",0.75,0.779125794119734,0.0528031367213057,TRUE,1,"randomized",TRUE,0.001,3000,80,5,5,99,86400,17
"pit_affine_tilt",0.75,0.788104350306993,0.0546747055733231,TRUE,1,"randomized",TRUE,0.001,3000,80,5,5,99,86400,17
"affine_calibrated_sudo",0.75,0.795222647657527,0.0542746909018412,TRUE,1,"randomized",TRUE,0.001,3000,80,5,5,99,86400,17
"direct",0.75,0.617630506080555,0.0387483433006172,FALSE,1,"randomized",TRUE,0.001,3000,80,5,5,99,86400,18
"raw_label",0.75,0.127832127183126,0.00712086083949655,FALSE,1,"randomized",TRUE,0.001,3000,80,5,5,99,86400,18
"index_projection",0.75,0.616507445425182,0.0391700595543612,FALSE,1,"randomized",TRUE,0.001,3000,80,5,5,99,86400,18
"sudo",0.75,0.640878598659598,0.0405536532513685,FALSE,1,"randomized",TRUE,0.001,3000,80,5,5,99,86400,18
"scaled",0.75,0.663233882151099,0.0440637670463276,FALSE,1,"randomized",TRUE,0.001,3000,80,5,5,99,86400,18
"orthogonal",0.75,0.697106870794523,0.0479034856391924,TRUE,1,"randomized",TRUE,0.001,3000,80,5,5,99,86400,18
"targeted_projection",0.75,0.679371325849529,0.0442356516358543,TRUE,1,"randomized",TRUE,0.001,3000,80,5,5,99,86400,18
"targeted_sudo",0.75,0.675852108449033,0.0430889284805214,TRUE,1,"randomized",TRUE,0.001,3000,80,5,5,99,86400,18
"pit_intercept_tilt",0.75,0.67944832028653,0.0442440359731094,TRUE,1,"randomized",TRUE,0.001,3000,80,5,5,99,86400,18
"pit_affine_tilt",0.75,0.68109354136716,0.045850215241136,TRUE,1,"randomized",TRUE,0.001,3000,80,5,5,99,86400,18
