"seed","selection","truth","direct","raw_label","index_projection","sudo","scaled","orthogonal","targeted_projection","targeted_sudo","correction","kappa","clipping_rate","max_inverse_information","direct_contrast_spread","target_failure","index_rmse","index_correlation","oracle_sudo","oracle_orthogonal","sample_signature","fold_signature","error","cell","primary","clip","cell_n","cell_p","outer_folds","inner_folds","replication"
1613074,"min",0.75,0.660680363848378,0.134547731823162,0.657273161576415,0.684311646628653,0.710710272068608,0.748768994620612,0.740705761424928,0.731046138434042,0.0270384850522375,0.494012965836022,0.000333333333333326,1001.001001001,6.88338275267597e-15,0,0.372988938890033,0.980535158423758,0.744283397396909,0.776539489925035,2214009,13535707,NA,"randomized",TRUE,0.001,3000,80,5,5,74
1613074,"one_se",0.75,0.602747850150304,0.134547731823162,0.601784756547182,0.642990932970191,0.679036125919571,0.719788180028867,0.730875426410554,0.713568146721199,0.0412061764230092,0.466596168355603,0,342.019032293238,3.5527136788005e-15,0,0.515570723991122,0.976340001897287,0.744283397396909,0.776539489925035,2214009,13535707,NA,"randomized",TRUE,0.001,3000,80,5,5,74
1613075,"min",0.75,0.720897749830515,0.144408829406242,0.721588614693551,0.746928097989595,0.771906662014127,0.7905934607563,0.797258997221129,0.787001993683207,0.0253394832960443,0.496413620055516,0,435.14479372699,7.99360577730113e-15,0,0.299585340210046,0.984110935632396,0.78076790205846,0.812330333277107,2254482,13453170,NA,"randomized",TRUE,0.001,3000,80,5,5,75
1613075,"one_se",0.75,0.660317469481648,0.144408829406242,0.6601947950608,0.70334172755505,0.741499266641836,0.780825927259939,0.789843413275932,0.771347952590612,0.0431469324942507,0.46931661131029,0,177.372830778179,3.99680288865056e-15,0,0.401649484464986,0.987424474979272,0.78076790205846,0.812330333277107,2254482,13453170,NA,"randomized",TRUE,0.001,3000,80,5,5,75
1613076,"min",0.75,0.709928756844225,0.139693196503435,0.712171552821853,0.738445800913074,0.765674231508815,0.803189974423477,0.786510631925909,0.776777744886061,0.0262742480912215,0.508917147028303,0.000666666666666677,1001.001001001,6.66133814775094e-15,0,0.281417206579874,0.984106560206377,0.762643706711431,0.812787013502583,2217733,13558736,NA,"randomized",TRUE,0.001,3000,80,5,5,76
1613076,"one_se",0.75,0.647176701273122,0.139693196503435,0.64904262736187,0.692198852650978,0.73226061944914,0.776562893620973,0.777527070039066,0.757799800786347,0.0431562252891086,0.481407515290075,0.00033333333333334,1001.001001001,4.44089209850063e-15,0,0.372203928374634,0.988794052766352,0.762643706711431,0.812787013502583,2217733,13558736,NA,"randomized",TRUE,0.001,3000,80,5,5,76
1613077,"min",0.75,0.671105625411602,0.135337126595723,0.67046624959526,0.698589694683547,0.72544617095402,0.763171941965137,0.741661405961974,0.734380253900604,0.0281234450882867,0.488477895325217,0,333.90964846872,9.76996261670138e-15,0,0.309678372581256,0.984245214094096,0.754952175277044,0.791847144626404,2262102,13447766,NA,"randomized",TRUE,0.001,3000,80,5,5,77
1613077,"one_se",0.75,0.608617160367925,0.135337126595723,0.610621610387166,0.653871718689269,0.691080104324002,0.737422666082286,0.727609087338724,0.712050466901649,0.0432501083021026,0.462454413625286,0,105.523708811186,4.88498130835069e-15,0,0.421573673962066,0.988582703041529,0.754952175277044,0.791847144626404,2262102,13447766,NA,"randomized",TRUE,0.001,3000,80,5,5,77
1613078,"min",0.75,0.603035194562964,0.123191405446489,0.604815976228586,0.628402853222467,0.650038187203653,0.681788604451398,0.663173219535772,0.657427722727199,0.0235868769938816,0.478422737736424,0,474.35741444138,7.105427357601e-15,0,0.343308344336895,0.983460845663671,0.717475944923163,0.727622167319088,2296871,13498471,NA,"randomized",TRUE,0.001,3000,80,5,5,78
1613078,"one_se",0.75,0.540568612943285,0.123191405446489,0.542806762703505,0.585323673462475,0.620085986156782,0.659773042120472,0.654351201522499,0.64004406167101,0.0425169107589692,0.449827406913904,0,200.195198853285,3.10862446895044e-15,0,0.473868855895481,0.98614399481668,0.717475944923163,0.727622167319088,2296871,13498471,NA,"randomized",TRUE,0.001,3000,80,5,5,78
1613079,"min",0.75,0.65754909598828,0.134068183056886,0.657884800760829,0.683200189037102,0.706959615759337,0.73090893183539,0.723467787733254,0.715372915194143,0.0253153882762731,0.484147046157118,0.000333333333333335,1001.001001001,7.99360577730113e-15,0,0.311607341255317,0.981177961731038,0.742317612192142,0.750377996826373,2186751,13520029,NA,"randomized",TRUE,0.001,3000,80,5,5,79
1613079,"one_se",0.75,0.594575576564669,0.134068183056886,0.594839600793399,0.639183038501326,0.676512317967026,0.710743296440757,0.71244678761674,0.695546728533643,0.0443434377079266,0.457059355406807,0,397.194883274488,3.21964677141295e-15,0,0.417501746443733,0.985104881392262,0.742317612192142,0.750377996826373,2186751,13520029,NA,"randomized",TRUE,0.001,3000,80,5,5,79
