"replication","seed","rao_blackwell","rao_blackwell_se","ci_lo","ci_hi","direct_ordinal","dml_equal","dml_middle","coding_difference","coding_difference_se","oracle_dml_equal","oracle_dml_middle","oracle_coding_difference","oracle_latent_plr","thresholds_ordered","all_boot_thresholds_ordered","min_threshold_gap","min_boot_threshold_gap","max_contrast_spread","max_probability_error","backfit_iterations","max_condition_number","min_category_frequency","bootstrap_success","error","config","n","p","n_folds","bootstrap_reps"
11,194011,0.842279880386048,0.0669844287278318,0.710992812554508,0.973566948217588,0.759474752671333,1.11154682242686,1.256789124784,0.145242302357145,NA,1.02947279665361,1.16169114761821,0.132218350964599,0.846457611094276,1,1,1.01527142944421,0.930681757163066,5.10584923303219e-16,2.22044604925031e-16,0,NA,0.171333333333333,1,"","stage19_v3_resumable_primary_boot_pure_2000_2000_0.1_0.1_10_4_2.9.11",3000,50,5,99
12,194012,0.971144902076068,0.0697614271473357,0.834415017357175,1.10787478679496,0.92350500491414,1.3103302046032,1.47433776689026,0.164007562287055,NA,1.29418013057903,1.44237987547497,0.148199744895941,0.978558919842173,1,1,0.992729283458045,0.915904797410452,5.57275842195354e-16,2.22044604925031e-16,0,NA,0.176333333333333,1,"","stage19_v3_resumable_primary_boot_pure_2000_2000_0.1_0.1_10_4_2.9.11",3000,50,5,99
13,194013,1.00135638174367,0.068155029168849,0.867774979207454,1.1349377842799,0.93932175492055,1.31427109438694,1.40551572737772,0.0912446329907799,NA,1.34796045814694,1.46631374829463,0.118353290147693,1.0351284331495,1,1,0.973366379823897,0.9038196896076,5.32212323448026e-16,2.22044604925031e-16,0,NA,0.173333333333333,1,"","stage19_v3_resumable_primary_boot_pure_2000_2000_0.1_0.1_10_4_2.9.11",3000,50,5,99
14,194014,1.02073005089172,0.0765529195920252,0.87068908557996,1.17077101620348,0.950751803664784,1.34178065586905,1.46969471958293,0.127914063713884,NA,1.33780167897563,1.46828592282885,0.130484243853224,1.03849007644129,1,1,1.0136987562062,0.926208414382968,5.07816738340595e-16,2.22044604925031e-16,0,NA,0.173,1,"","stage19_v3_resumable_primary_boot_pure_2000_2000_0.1_0.1_10_4_2.9.11",3000,50,5,99
15,194015,1.02588230615085,0.0681599931623352,0.892291174366179,1.15947343793553,0.984641197492137,1.35396325060173,1.53804527562293,0.184082025021195,NA,1.37490922278149,1.55936570673041,0.184456483948927,1.03976843244955,1,1,1.0386372184687,0.966924423651041,5.88262386800013e-16,2.22044604925031e-16,0,NA,0.161666666666667,1,"","stage19_v3_resumable_primary_boot_pure_2000_2000_0.1_0.1_10_4_2.9.11",3000,50,5,99
16,194016,1.10621291991302,0.0805010787723258,0.948433704802639,1.2639921350234,1.02158296426835,1.49044870498091,1.63146647916618,0.141017774185263,NA,1.45608527626107,1.60200761085093,0.145922334589858,1.05845055554703,1,1,0.973195094469716,0.907654071745972,5.29945642530782e-16,2.22044604925031e-16,0,NA,0.168333333333333,1,"","stage19_v3_resumable_primary_boot_pure_2000_2000_0.1_0.1_10_4_2.9.11",3000,50,5,99
17,194017,1.00655319758302,0.076691623507796,0.856240377591838,1.15686601757421,0.947140970487486,1.33444210695515,1.46106872655988,0.126626619604733,NA,1.29534909248782,1.41445991269917,0.119110820211342,0.967501448103886,1,1,0.96472332440787,0.905433754202981,5.0676208146313e-16,2.22044604925031e-16,0,NA,0.170333333333333,1,"","stage19_v3_resumable_primary_boot_pure_2000_2000_0.1_0.1_10_4_2.9.11",3000,50,5,99
18,194018,0.910636968105192,0.0628199600896458,0.787512108819242,1.03376182739114,0.884673727838711,1.24699209967109,1.45558934165038,0.208597241979292,NA,1.27335576902853,1.47965426324858,0.206298494220055,0.957835182301847,1,1,0.94541005543124,0.844885699123349,5.31612690990024e-16,2.22044604925031e-16,0,NA,0.171666666666667,1,"","stage19_v3_resumable_primary_boot_pure_2000_2000_0.1_0.1_10_4_2.9.11",3000,50,5,99
19,194019,1.04188976422101,0.0739781580815062,0.896895238738651,1.18688428970338,1.00298707821965,1.38014364264123,1.56642998491746,0.186286342276229,NA,1.36384755717632,1.55429508448398,0.190447527307666,1.01848224550497,1,1,1.00429465114982,0.931063530764372,5.7858064391431e-16,2.22044604925031e-16,0,NA,0.176666666666667,1,"","stage19_v3_resumable_primary_boot_pure_2000_2000_0.1_0.1_10_4_2.9.11",3000,50,5,99
20,194020,0.980222030783426,0.0734935625064069,0.836177295175325,1.12426676639153,0.909669163730924,1.31858112249314,1.50360585556475,0.185024733071613,NA,1.2896103606429,1.45575796900221,0.166147608359309,0.939334897042183,1,1,0.998372941304652,0.945753085831437,4.99667287127858e-16,2.22044604925031e-16,0,NA,0.168333333333333,1,"","stage19_v3_resumable_primary_boot_pure_2000_2000_0.1_0.1_10_4_2.9.11",3000,50,5,99
21,194021,1.14685921300305,0.0645445313906707,1.02035425607832,1.27336416992778,1.07261047790554,1.51018012741201,1.6736249009941,0.163444773582086,NA,1.46879705705076,1.62470116767024,0.155904110619484,1.09458129171887,1,1,1.00739933854807,0.89595128179413,5.75799847101566e-16,2.22044604925031e-16,0,NA,0.174,1,"","stage19_v3_resumable_primary_boot_pure_2000_2000_0.1_0.1_10_4_2.9.11",3000,50,5,99
22,194022,1.04887116389978,0.0795255714516336,0.893003908004609,1.20473841979495,1.00316455640008,1.36690515368401,1.52711709847374,0.160211944789725,NA,1.33603424777723,1.48236280622445,0.146328558447213,1.00042525698816,1,1,1.014440442981,0.941598497790563,5.57349687798566e-16,2.22044604925031e-16,0,NA,0.160333333333333,1,"","stage19_v3_resumable_primary_boot_pure_2000_2000_0.1_0.1_10_4_2.9.11",3000,50,5,99
23,194023,0.950819319710295,0.0741560944562879,0.805476045341821,1.09616259407877,0.909252018233894,1.29885239906084,1.45677555121422,0.157923152153375,NA,1.31778246984622,1.48141392795094,0.163631458104719,0.997505297719369,1,1,0.946496312537424,0.873241802642839,4.87493701919782e-16,2.22044604925031e-16,0,NA,0.169666666666667,1,"","stage19_v3_resumable_primary_boot_pure_2000_2000_0.1_0.1_10_4_2.9.11",3000,50,5,99
24,194024,0.97423563231158,0.0737505636529829,0.829687183712205,1.11878408091096,0.932956366672305,1.29816885477948,1.49145752490188,0.193288670122394,NA,1.29766609821822,1.49176282349681,0.194096725278585,0.976964309024993,1,1,0.955114526431202,0.91066726682624,5.34507890979954e-16,2.22044604925031e-16,0,NA,0.172333333333333,1,"","stage19_v3_resumable_primary_boot_pure_2000_2000_0.1_0.1_10_4_2.9.11",3000,50,5,99
25,194025,1.01652036424342,0.0694053192571039,0.880488438163989,1.15255229032284,0.974822508723323,1.37551414257779,1.57447495517316,0.198960812595376,NA,1.36271822974918,1.54462685335786,0.181908623608678,1.01016435062295,1,1,0.960865463706654,0.868293290382624,5.25657039649772e-16,2.22044604925031e-16,0,NA,0.165,1,"","stage19_v3_resumable_primary_boot_pure_2000_2000_0.1_0.1_10_4_2.9.11",3000,50,5,99
26,194026,1.01229793906313,0.0659582024687391,0.883022237739399,1.14157364038686,0.960912742956299,1.35412204061145,1.49769334660652,0.143571305995066,NA,1.33671785932825,1.48376225752024,0.147044398191984,0.96362721288254,1,1,0.976213285300962,0.901957617984859,4.96983215511974e-16,2.22044604925031e-16,0,NA,0.170666666666667,1,"","stage19_v3_resumable_primary_boot_pure_2000_2000_0.1_0.1_10_4_2.9.11",3000,50,5,99
27,194027,0.9382540254918,0.0784767158878577,0.784442488726616,1.09206556225698,0.896977925122569,1.28070012756955,1.45914622550671,0.178446097937161,NA,1.27861339581226,1.46354510699757,0.184931711185309,0.967968157406585,1,1,0.931191155999095,0.8721946885096,5.56573820302094e-16,2.22044604925031e-16,0,NA,0.158666666666667,1,"","stage19_v3_resumable_primary_boot_pure_2000_2000_0.1_0.1_10_4_2.9.11",3000,50,5,99
