"arm","sudo","sudo_mi","T_U_plug","T_W_plug","T_U_os","T_W_os","PL_OS","B_total","B_X","B_D","B_D_first","B_X_first","direct_treat_err","mean_lambda","mean_nz","d_selected","min_p","min_q","oracle","n","p","seed"
"pen",1.25103649245551,1.25358650529128,1.11207864499792,1.11264029899279,1.38745059366175,1.37781455425696,1.38356679273652,-0.224307097448741,-0.025193367883284,-0.199113729565457,-0.207857640572301,-0.045688243786088,-0.386981293933822,0.0323257422888274,32.2,1,0.294556072694562,0.074756245296631,1.37981982677082,1000,500,1011022
"unpen",1.42014777577575,1.44421503099123,1.52668769280617,1.52661414529327,1.42898303911455,1.40127909633749,1.3912690513264,-0.0499302618246557,-0.0638532911396488,0.0139230293149931,0.0141878983964164,-0.0825966790911203,0.0267140322848103,0.0379839890470636,25,1,0.312889808429165,0.0757766013136611,1.37981982677082,1000,500,1011022
"pen",1.49652803983807,1.52234962237818,1.31731808728416,1.31744487523039,1.70006726379366,1.70278641064281,1.71986778105224,-0.160569843549862,-0.0687522516485569,-0.0918175919013056,-0.0980111979958918,-0.0871846906071304,-0.182594124157347,0.038228051751751,14.2,1,0.33518422705036,0.10882428539452,1.72747957829668,1000,500,1011023
"unpen",1.68326043430042,1.73593256997829,1.76829577407996,1.76849435751542,1.72652262487363,1.72748242886678,1.73394202659405,0.0342996685798127,-0.10364513956056,0.137944808140373,0.144386517828322,-0.120945656717952,0.268405876071476,0.0431893597171788,8,1,0.33636288142835,0.105293903937391,1.72747957829668,1000,500,1011023
"pen",1.35824803248199,1.38591069768088,1.2330954455178,1.23240555883067,1.48104006182526,1.49462489638465,1.5052729828238,-0.183405607643718,-0.0463210150656567,-0.137084592578061,-0.142931499992916,-0.070855563638426,-0.268484931937232,0.0394953416261101,15.4,1,0.289012524375947,0.117999986038715,1.52626427073726,1000,500,1011024
"unpen",1.56517634599111,1.59690243508488,1.6950946870483,1.69446631303498,1.51939354985278,1.51027010487422,1.52004228751772,0.0125618916708786,-0.087022446436738,0.0995843381076166,0.102626651269054,-0.108708277478596,0.193894839254809,0.047846593069306,4.4,1,0.347050310335646,0.126286619509359,1.52626427073726,1000,500,1011024
"pen",1.38463842298223,1.38639709341274,1.24779254546749,1.24743506070726,1.50485769509971,1.51713779092626,1.51173032473258,-0.173933972602865,-0.0459602188064558,-0.127973753796409,-0.134610659910181,-0.0604843761419354,-0.252297303704303,0.0303673192951531,32,1,0.261673377025737,0.0686475028027458,1.5620014239421,1000,500,1011025
"unpen",1.54700073752252,1.55874585509278,1.62734520083749,1.62664075147609,1.52922605058156,1.52957636109173,1.51933576735231,-0.00975122941737313,-0.0753603582059863,0.0656091287886132,0.068399248295355,-0.0886397848972446,0.12724554985962,0.0314521422930245,28.8,1,0.24863590827194,0.0610851080958777,1.5620014239421,1000,500,1011025
"pen",1.29080380524852,1.29815741000089,1.11257901216395,1.11278594093969,1.43020850332042,1.45007182535295,1.47108179550982,-0.23353205272168,-0.0402119601921536,-0.193320092529527,-0.206397503729354,-0.0578492564255419,-0.387165994528013,0.040244748745908,11.4,1,0.232797736118808,0.0863584827598173,1.40973263567007,1000,500,1011026
"unpen",1.48065972431493,1.50116448979877,1.5731169678997,1.57326935242843,1.46884550821721,1.47356555234771,1.47987164813077,-0.0397903956456843,-0.0771587807557225,0.0373683851100382,0.0389005625429514,-0.0925477982900355,0.0731907773033387,0.0416419608233787,9.6,1,0.2542422128718,0.076792897512335,1.40973263567007,1000,500,1011026
"pen",1.46378660629514,1.49462979587953,1.32944512002444,1.32885075110843,1.61476263815327,1.62205985346967,1.63645143413182,-0.162212870581896,-0.0780255507406006,-0.0841873198412951,-0.0906659881621949,-0.0943860536616035,-0.170652468368153,0.0360769461565489,17.8,1,0.284773613028839,0.0902696826907983,1.52693432838734,1000,500,1011027
"unpen",1.65099528547549,1.68743323557744,1.76443364010233,1.76376983262116,1.64978074851272,1.63686883521154,1.64559760497176,0.0187766919370697,-0.113941493497782,0.132718185434852,0.141123321920138,-0.130917249062511,0.264671541022697,0.0423565004979853,9.4,1,0.285907190849569,0.104280499029023,1.52693432838734,1000,500,1011027
"pen",1.40129241927072,1.40201842847383,1.24627977700683,1.2458283162149,1.50153643647575,1.52335207474078,1.52606435806131,-0.193966680653277,-0.0660627721099435,-0.127903908543333,-0.138116369431737,-0.0805863586697399,-0.253663643575866,0.0353616320263685,19,1,0.282047106028699,0.0974256358328658,1.45204775951529,1000,500,1011028
"unpen",1.57369801857935,1.5854392682023,1.66872211228972,1.66791892638749,1.50934112011361,1.51764693309053,1.52997174152459,-0.0158121606226343,-0.101495019091605,0.0856828584689709,0.0913478355080289,-0.11623915145634,0.169024743436163,0.0370443318886538,14.2,1,0.296704804132055,0.0942467083805937,1.45204775951529,1000,500,1011028
"pen",1.2260648852894,1.23041074542192,1.05038681220691,1.05032255184689,1.36148325703765,1.37277720926061,1.38600178675316,-0.247583688960583,-0.0137360650743454,-0.233847623886238,-0.242645649371709,-0.0346941239768612,-0.449121366632055,0.0368759544825067,16.2,1,0.255269428709986,0.0701618158478141,1.33555504381549,1000,500,1011029
"unpen",1.40875754422426,1.42317923904866,1.49058377199016,1.49043056042315,1.38462865748688,1.37596660498313,1.393025591557,-0.0589477361731931,-0.054059173238965,-0.00488856293422806,-0.0047433865411795,-0.0709460875207776,-0.00913399717824222,0.0389696106772627,13,1,0.262052783029741,0.0651544132214623,1.33555504381549,1000,500,1011029
"pen",1.669852824487,1.66184714582677,1.52965684884412,1.52969165995063,1.75579314078948,1.77018287740792,1.80122319737478,-0.0751159447016612,-0.0909140964157089,0.0157981517140477,0.0161876359624177,-0.102745930116253,0.029829609665776,0.03351641150301,23.2,1,0.213321313594864,0.0753845696812731,1.80859392535112,1000,500,1011030
"unpen",1.85590327815586,1.87417718410868,1.97591184786609,1.9757239274777,1.79611379132903,1.79710300821331,1.81516940411151,0.114891629365092,-0.12758809272336,0.242479722088452,0.257508835060929,-0.143219385490548,0.475856819313389,0.0405312831991,10.2,1,0.242064981277646,0.0813034827328129,1.80859392535112,1000,500,1011030
"pen",1.37591422009712,1.38665936880511,1.23216951531702,1.23281460395466,1.46294993471717,1.47116368274762,1.52161215472615,-0.195759246244483,-0.0609826011958165,-0.134776645048667,-0.144913176825505,-0.0767080793389386,-0.267188063160939,0.0338980134190145,21,1,0.197012723096039,0.0817132119714897,1.45685615213704,1000,500,1011031
"unpen",1.54768532552851,1.5859658169114,1.66160704345577,1.66205752071526,1.47447399088438,1.46782212478181,1.52860148559538,-0.0177885774562205,-0.102053161106204,0.0842645836499832,0.0887098358274887,-0.119884903871387,0.16227639619652,0.0426794368167631,11.2,1,0.193367336956103,0.067447781984218,1.45685615213704,1000,500,1011031
"pen",1.64791010300038,1.6654123770628,1.51271548704763,1.51284138361459,1.79101175827139,1.80542967791324,1.83273770448923,-0.0507451260466379,-0.057947206291023,0.0072020802443851,0.00729566699537847,-0.0755214630220761,0.013498310439014,0.0297411385480224,39,1,0.165332681165158,0.056935484713961,1.80811841627619,1000,500,1011032
"unpen",1.85047166417918,1.86806206132287,1.91771445309223,1.91792205533856,1.82287108362511,1.82464383803362,1.83586809693852,0.135770372725196,-0.0886023403329916,0.224372713058188,0.228284077405118,-0.105174952783013,0.41873180332583,0.0320355135025351,30.4,1,0.166551287285836,0.0412480486112239,1.80811841627619,1000,500,1011032
"pen",1.65617919077704,1.67694870967631,1.53982845701496,1.54009395451455,1.79722246831947,1.79947429926155,1.81999545126724,-0.0604876872166899,-0.0814384255855331,0.0209507383688431,0.022897874403835,-0.0962468375408843,0.0401285011846789,0.0316126469528428,24.6,1,0.186570063948298,0.0827113628632987,1.81979071480079,1000,500,1011033
"unpen",1.84724756316264,1.87010550612664,1.95197198336558,1.95211616458747,1.8305134859436,1.81231700806053,1.82277767294305,0.124230035171524,-0.109173239685311,0.233403274856835,0.24507722789694,-0.125579830502108,0.452314660958255,0.0330318780741526,21.8,1,0.179906963087906,0.0684212058175937,1.81979071480079,1000,500,1011033
"pen",1.17799425142848,1.18691692262149,1.04241088387397,1.04242906299179,1.31231203094739,1.33031817492425,1.35727843278003,-0.249759065947635,-0.0131584495899725,-0.236600616357662,-0.247700228937357,-0.0284440058115462,-0.457586618799219,0.0324776981675229,22.4,1,0.221359980803385,0.0232782996590334,1.29485520239921,1000,500,1011034
"unpen",1.34257091033804,1.3631224979355,1.43446611090654,1.43434805683076,1.35299293323155,1.35152348693696,1.36534638029953,-0.0821156103122124,-0.0477434349910021,-0.0343721753212103,-0.0357189953115017,-0.0603650638665683,-0.0656540125632988,0.0336468769671137,20.2,1,0.218208044586203,0.0223774518426218,1.29485520239921,1000,500,1011034
"pen",1.41008104423449,1.41564762871915,1.28735745820195,1.28782852406107,1.51519963726497,1.52264114558692,1.56485268915694,-0.12681610878553,-0.0135679728605356,-0.113248135924995,-0.114624329909713,-0.032599746809689,-0.212345059105537,0.0312533878211615,26.4,1,0.257970795582897,0.0516109399309151,1.54906168577102,1000,500,1011035
